43.5906834,10.529521
43.5891608,10.528997
43.5882683,10.529086
43.5829227,10.5312781
43.5762089,10.5340645
43.5731508,10.5353542
43.572011,10.5354971
43.5716597,10.5354917
43.5702669,10.534789
43.5691145,10.5339226
43.5683167,10.5335439
43.5674783,10.5335056
43.5656163,10.5334344
43.5649963,10.5337188
43.5647456,10.533936
43.5634901,10.5351403
43.5610198,10.5369119
43.5707722,10.5351162
43.5726631,10.5307813
43.5710442,10.5352315
43.5844373,10.4915682
43.5817999,10.494597
43.5803254,10.4966911
43.5797521,10.4981566
43.5790373,10.4991036
43.5782894,10.4996384
43.5775486,10.4999576
43.5763344,10.5004778
43.5758545,10.5009606
43.5757777,10.5020359
43.5757217,10.5024637
43.5753685,10.5027453
43.5745008,10.5028179
43.5743318,10.5028685
43.5744106,10.5033443
43.574853,10.5034352
43.574958,10.5035921
43.5745721,10.5048528
43.5738757,10.5067998
43.5731176,10.5073438
43.572044,10.5081124
43.5715633,10.509189
43.5713271,10.5110484
43.5711155,10.512908
43.5709091,10.513587
43.570315,10.514198
43.5700614,10.5151549
43.5692449,10.5171934
43.5693394,10.5176699
43.5697835,10.5186545
43.5704396,10.5197597
43.5711344,10.5207325
43.573579,10.521751
43.5743994,10.5221468
43.5748329,10.5227215
43.5746757,10.5232664
43.5742183,10.5238989
43.5738353,10.5242075
43.5734736,10.5250011
43.5739262,10.5262547
43.5738446,10.5275853
43.5734639,10.5286874
43.5511443,10.5120116
43.5511927,10.5115781
43.5515185,10.5051921
43.551588,10.5038584
43.5515915,10.5030432
43.5516,10.5029798
43.5516299,10.5028677
43.5517533,10.5024838
43.5517829,10.5022806
43.5517754,10.5020585
43.5516702,10.5003762
43.5516284,10.4999826
43.5515195,10.4996024
43.55133,10.4992121
43.5507482,10.4980575
43.5501654,10.4969387
43.5499525,10.4966446
43.5494345,10.4959716
43.5487213,10.49505
43.548588,10.4948132
43.5484874,10.4945344
43.5482502,10.4934943
43.5477649,10.4912404
43.5477548,10.4910759
43.5478021,10.4908162
43.5478471,10.4907096
43.5479285,10.4905809
43.5481035,10.4902928
43.5482468,10.4900749
43.5484137,10.4897232
43.5484842,10.4895304
43.5486723,10.4889101
43.5489487,10.4879561
43.5491554,10.4874019
43.5493688,10.4869892
43.5499865,10.4859983
43.5503076,10.4854499
43.5505382,10.4851596
43.5521446,10.4835661
43.5522791,10.4834334
43.5524142,10.4833145
43.5525604,10.4832173
43.5527143,10.4831445
43.5530219,10.4830976
43.5547071,10.4830599
43.5550421,10.4830473
43.5551847,10.4830325
43.5552977,10.4829916
43.5554412,10.4828815
43.5555829,10.4826896
43.5556648,10.4825048
43.555849,10.4819357
43.5559887,10.4814887
43.5562091,10.4810131
43.556961,10.4795111
43.5570549,10.4792886
43.5570587,10.4791319
43.556966,10.4790254
43.5567178,10.47891
43.5561405,10.478636
43.5899024,10.5292906
43.5887128,10.5289836
43.6077642,10.4965416
43.6078411,10.4967229
43.6078819,10.4968489
43.6079169,10.4970474
43.6078285,10.4979217
43.6074009,10.4992015
43.6071664,10.4999105
43.607121,10.5001069
43.6070999,10.5002953
43.6071426,10.5010594
43.6072196,10.5014409
43.6078586,10.5025352
43.6083308,10.5031508
43.6084599,10.5034421
43.6085222,10.5038005
43.6086044,10.5087928
43.6076157,10.5125563
43.6075722,10.5127651
43.607542,10.5129529
43.6075321,10.5131483
43.6079648,10.5142432
43.6086844,10.5157884
43.608985,10.5166383
43.6088879,10.5162735
43.6075789,10.513366
43.6077187,10.5137262
43.6092647,10.5179493
43.608651,10.5076073
43.6086626,10.5080096
43.6086704,10.5082644
43.6086568,10.5085058
43.6084034,10.5032906
43.608501,10.5035988
43.6085869,10.5056993
43.6075606,10.5021085
43.6073597,10.5017635
43.6071738,10.5012564
43.6071059,10.5006643
43.6079324,10.4973854
43.6079052,10.4976241
43.6072806,10.4956433
43.571708,10.4754689
43.57164,10.47568
43.5713232,10.477228
43.5712241,10.4777266
43.5709749,10.4782227
43.5705252,10.4785069
43.5702536,10.4786619
43.5692798,10.4785782
43.5690726,10.4785646
43.5683372,10.4789141
43.5679743,10.479062
43.5678022,10.4792006
43.5677921,10.4797572
43.5678003,10.4800364
43.567713,10.480316
43.5676383,10.4804651
43.5670505,10.4809318
43.566737,10.4811858
43.566406,10.4813039
43.5661071,10.4813286
43.5657765,10.4812252
43.5655374,10.481237
43.5654237,10.4813519
43.5651621,10.4817089
43.5650353,10.4819548
43.5648894,10.482277
43.5647617,10.4824417
43.564488,10.4826534
43.5643766,10.4827302
43.5642637,10.4828032
43.5641688,10.4829604
43.5641849,10.4832834
43.5641575,10.4834374
43.5640318,10.4838189
43.5640015,10.4840562
43.5640601,10.4842986
43.5640637,10.4844021
43.5640664,10.4845122
43.5639431,10.4848501
43.5634942,10.4860976
43.5738359,10.5010768
43.5744693,10.5011483
43.5746838,10.5011483
43.5750617,10.5006069
43.5820971,10.5021982
43.5824179,10.5014397
43.5827284,10.5011374
43.5809718,10.4957466
43.5853036,10.4906241
43.5830226,10.5009249
43.5833687,10.5004396
43.5836305,10.4999999
43.5839787,10.4994866
43.5842769,10.499329
43.5853526,10.4989512
43.5859917,10.498608
43.5867633,10.4981533
43.5874954,10.4974443
43.5880088,10.4969418
43.5830938,10.4930038
43.5890317,10.4960453
43.5896136,10.4957968
43.5902216,10.4955745
43.5907781,10.495561
43.5917924,10.4957792
43.5930166,10.4960625
43.5932831,10.4962579
43.5936022,10.4964682
43.5524205,10.5118616
43.5514186,10.5117574
43.551174,10.5117417
43.554213,10.513866
43.5533366,10.5126267
43.5526302,10.5118861
43.5604619,10.5098595
43.5591665,10.5102628
43.5582182,10.5108271
43.5574672,10.511536
43.5566805,10.5122706
43.5565502,10.5124416
43.556341,10.512924
43.5559599,10.5133076
43.5553782,10.5137623
43.5544995,10.513939
43.5632354,10.5116586
43.5628601,10.5110101
43.5627056,10.510916
43.5623552,10.5111357
43.5621724,10.5112553
43.5618688,10.5110886
43.5616282,10.5103041
43.5615005,10.5099409
43.5612464,10.5097811
43.5609326,10.5097654
43.5640509,10.5136129
43.564359,10.5128793
43.5644142,10.5126162
43.5642783,10.5117965
43.5640799,10.5108657
43.5640014,10.5103821
43.5638719,10.510053
43.563715,10.5100844
43.5639947,10.5120896
43.5639403,10.5123546
43.563777,10.5124178
43.5635707,10.5122755
43.5707488,10.5138426
43.5659903,10.5162943
43.5651721,10.5163432
43.5648712,10.5163313
43.56448,10.5162096
43.5641377,10.5153349
43.5638755,10.5146172
